L: x=0.496 y=0.492 | R: x=0.433 y=0.478 | RAW: x=0.465 y=0.485 | NORM: x=0.383 y=0.451
L: x=0.532 y=0.502 | R: x=0.459 y=0.495 | RAW: x=0.496 y=0.499 | NORM: x=0.486 y=0.496
L: x=0.561 y=0.681 | R: x=0.410 y=0.632 | RAW: x=0.486 y=0.657 | NORM: x=0.452 y=1.000
L: x=0.561 y=0.617 | R: x=0.456 y=0.582 | RAW: x=0.508 y=0.600 | NORM: x=0.528 y=0.832
L: x=0.515 y=0.613 | R: x=0.387 y=0.588 | RAW: x=0.451 y=0.601 | NORM: x=0.337 y=0.836
L: x=0.550 y=0.636 | R: x=0.424 y=0.607 | RAW: x=0.487 y=0.621 | NORM: x=0.458 y=0.904
L: x=0.540 y=0.600 | R: x=0.443 y=0.574 | RAW: x=0.491 y=0.587 | NORM: x=0.471 y=0.790
L: x=0.508 y=0.496 | R: x=0.432 y=0.472 | RAW: x=0.470 y=0.484 | NORM: x=0.400 y=0.445
L: x=0.472 y=0.534 | R: x=0.388 y=0.518 | RAW: x=0.430 y=0.526 | NORM: x=0.266 y=0.588
L: x=0.600 y=0.518 | R: x=0.524 y=0.500 | RAW: x=0.562 y=0.509 | NORM: x=0.707 y=0.530
L: x=0.510 y=0.530 | R: x=0.436 y=0.512 | RAW: x=0.473 y=0.521 | NORM: x=0.409 y=0.570
L: x=0.545 y=0.990 | R: x=0.458 y=0.856 | RAW: x=0.501 y=0.923 | NORM: x=0.505 y=1.000
L: x=0.550 y=0.614 | R: x=0.424 y=0.549 | RAW: x=0.487 y=0.582 | NORM: x=0.456 y=0.772
L: x=0.497 y=0.463 | R: x=0.453 y=0.452 | RAW: x=0.475 y=0.457 | NORM: x=0.417 y=0.358
L: x=0.537 y=0.752 | R: x=0.437 y=0.750 | RAW: x=0.487 y=0.751 | NORM: x=0.457 y=1.000
L: x=0.532 y=0.600 | R: x=0.421 y=0.580 | RAW: x=0.477 y=0.590 | NORM: x=0.422 y=0.802
L: x=0.557 y=0.585 | R: x=0.446 y=0.568 | RAW: x=0.501 y=0.577 | NORM: x=0.504 y=0.756
L: x=0.514 y=0.531 | R: x=0.433 y=0.542 | RAW: x=0.474 y=0.536 | NORM: x=0.412 y=0.621
L: x=0.513 y=0.477 | R: x=0.469 y=0.469 | RAW: x=0.491 y=0.473 | NORM: x=0.470 y=0.410
L: x=0.528 y=0.501 | R: x=0.465 y=0.480 | RAW: x=0.497 y=0.491 | NORM: x=0.489 y=0.470
L: x=0.522 y=0.481 | R: x=0.475 y=0.473 | RAW: x=0.498 y=0.477 | NORM: x=0.495 y=0.423
L: x=0.522 y=0.488 | R: x=0.470 y=0.445 | RAW: x=0.496 y=0.466 | NORM: x=0.487 y=0.388
L: x=0.588 y=0.652 | R: x=0.484 y=0.581 | RAW: x=0.536 y=0.617 | NORM: x=0.620 y=0.889
L: x=0.579 y=0.764 | R: x=0.479 y=0.591 | RAW: x=0.529 y=0.677 | NORM: x=0.596 y=1.000
L: x=0.550 y=0.606 | R: x=0.440 y=0.584 | RAW: x=0.495 y=0.595 | NORM: x=0.484 y=0.817
L: x=0.513 y=0.510 | R: x=0.439 y=0.477 | RAW: x=0.476 y=0.494 | NORM: x=0.419 y=0.479
L: x=0.502 y=0.552 | R: x=0.438 y=0.507 | RAW: x=0.470 y=0.530 | NORM: x=0.401 y=0.599
L: x=0.470 y=0.621 | R: x=0.390 y=0.579 | RAW: x=0.430 y=0.600 | NORM: x=0.266 y=0.833
L: x=0.563 y=0.530 | R: x=0.509 y=0.487 | RAW: x=0.536 y=0.509 | NORM: x=0.619 y=0.529
